Homonym,Index,S1,S2,S3
grip,44960,They kept a firm grip on the two top priorities .,,It was an old briefcase but it still had a good grip .
draw,44958,Draw pulp from the fruit .,,"To draw a memorial , a deed , or bill of exchange ."
fall,44928,Fall prey to an imposter .,,The curtain fell on the diva .
light,45082,Can you shed light on this problem ?,,Do you have a light ?
work,0-2,This dough does not work easily .,,Work the raisins into the dough .
swing,44929,The soccer player began to swing at the referee .,,He swung his left fist .
draw,0-4,Draw parallels .,,A ship draws ten feet of water .
head,44986,Matters came to a head yesterday .,,I 've got to go to the head .
come,5-0,Your wish will come true .,,Next came the student from France .
play,0-2,Play fair .,,Play games .
drive,45017,To drive sheep out of a field .,,Drive the forest .
hold,44960,He can hold his liquor .,,This theory still holds .
clip,2-0,I went into the salon to get a clip .,,He could do ten at a clip .
pay,45022,Pay attention .,,He paid me 5000 pounds for the car .
light,44929,Put that light out !,,The light of my life .
shot,45020,His parting shot was ` drop dead ' .,,A good shot requires good balance and tempo .
line,0-6,Toe the line .,,Historians can only point out those lines for which evidence is available .
play,44988,Play cards .,,Gielgud played Hamlet .
take,0-0,Take shelter from the storm .,,Take a test .
snap,0-0,He gave his fingers a snap .,,Servants appeared at the snap of his fingers .
swing,44927,Swing a bat .,,His mood swings .
break,45027,Twigs break off of those branches easily .,,"The newsman wanted to break a big story , something that would make him famous ."
give,44927,I 'm going to give my wife a necklace for her birthday .,,Give a course .
carry,45173,He can not carry a tune .,,Amanda carried the package to New York .
voice,45143,After the fire a still small voice . — 1 Kings 19:12 .,,The voice of the law .
see,45019,I do n't see the situation quite as negatively as you do .,,I must see your passport before you can enter the country .
make,44960,Make a mistake .,,My wife made me buy a new sofa .
turn,44959,"The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .",,Turn the earth in the Spring .
do,0-2,We could do with a little more help around here .,,We did 6 miles on our hike every day .
interest,44929,In the common interest .,,An interest in music .
give,45049,Give one 's talents to a good cause .,,What gives ?
make,44932,What do you make of his remarks ?,,How much do you make a month in your new job ?
bull,45047,He was a bull of a man .,,What he said was mostly bull .
fall,45017,The hills around here fall towards the ocean .,,His voice fell to a whisper .
floor,44928,We spread our sleeping bags on the dry floor of the tent .,,The fire spared the forest floor .
throw,0-0,Throw a shoe .,,She threw herself forwards .
take,45021,"Can you take this bag , please .",,Take the case of China .
absence,45233,He visited during my absence .,,Absence makes the heart grow fonder .
credit,44931,That engineer is a credit to the team .,,"If you do not come to class , you will not get credit for the class , regardless of how well you do on the final ."
carry,45109,I carry her image in my mind 's eye .,,His voice carried a lot of anger .
make,0-2,She may not make the grade .,,I make the height about 100 feet .
defense,44929,He offered a persuasive defense of the theory .,,The defense called for a mistrial .
catch,44989,Did you catch a cold ?,,"If he catches you on the chin , you 'll be on the mat ."
line,45140,I ca n't follow your line of reasoning .,,The answer to the comprehension question can be found in the third line of the accompanying text .
get,44958,What did you get at the toy store ?,,Get someone mad .
cut,44927,Cut class .,,Cut a caper .
check,44927,A check on its dependability under stress .,,He paid all his bills by check .
sense,44988,A keen musical sense .,,In the best sense charity is really a duty .
say,45144,What does the law say ?,,She said ` Hello ' to everyone in the office .
turn,44987,Turn a key .,,"The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous ."
beg,45053,Beg money and food .,,Beg the point in the discussion .
thing,45019,I could n't tell what the thing was .,,She has a thing about him .
keep,45030,I can not keep track of all my employees .,,I keep my specimens under glass to protect them .
beat,44932,Beat one 's breast .,,The eagle beat its wings and soared high into the sky .
hold,0-0,He can hold his liquor .,,The auditorium ca n't hold more than 500 people .
piece,0-1,It is not known who created this piece .,,She played two beautiful pieces on the piano .
cut,0-3,The Vietnamese cut a lot of timber while they occupied Cambodia .,,Cut class .
mouth,44927,He rode into the mouth of the canyon .,,She wiped lipstick from her mouth .
stuff,44930,Stuff a pillow with feathers .,,My nose is all stuffed .
shape,44988,Shape the dough .,,Shape a figure .
feel,45049,The sheets feel soft .,,He felt the wind .
head,0-0,12 head of big cattle and 14 head of branded calves .,,The office was full of secret heads .
make,44928,This invention will make you a millionaire .,,This wool makes into a nice sweater .
business,44969,A racially integrated business concern .,,We do business all over the world .
try,45080,I shall try my skills on this .,,Try the yak butter .
interest,45114,He has a lot of interest in vintage cars .,,Victorian furniture is an interest of mine .
degree,44986,Murder in the second degree .,,He earned his degree at Princeton summa cum laude .
make,45021,Make a stir .,,Make friends .
keep,0-0,These potatoes keep for a long time .,,She keeps an apartment in Paris for her shopping trips .
pull,44928,Pull a sled .,,You 'll be sent home if you pull another stunt like that .
work,44927,The soft metal works well .,,He used pliers to work the wire into shape .
touch,44986,This piano has a wonderful touch .,,"Suddenly , in the crowd , I felt a touch at my shoulder ."
pick,44995,Pick a fight or a quarrel .,,Pick pockets .
represent,45017,Ms. Smith will represent the defendant .,,Our parents represented to us the need for more caution .
play,44928,Play the casinos in Trouville .,,Play the stock market .
point,44929,She walked to a point where she could survey the whole street .,,He held me up at the point of a gun .
follow,0-3,Teenagers follow their friends in everything .,,Carter followed Ford .
work,45051,He could not work the math problem .,,Work one 's way through the crowd .
turn,0-1,The alchemists tried to turn lead into gold .,,Turn the heat down .
assumption,44927,Your assumption that I would agree was unwarranted .,,On the assumption that he has been injured we can infer that he will not to play .
play,0-2,Insiders said the company 's stock was in play .,,The play of light on the water .
piece,45019,An important piece of the evidence .,,He wrote an interesting piece on Iran .
break,0-3,Break cigarette smoking .,,He slipped on the ice and broke his leg .
position,45078,Moved from third to fifth position .,,"Stand in this position , with your arms at your side ."
motion,45051,The reflex motion of his eyebrows revealed his surprise .,,He made a motion to adjourn .
break,44987,Nobody can break out -- this prison is high security .,,They broke into my car and stole my radio !
shed,44930,The bill shed 50 pages of pork-barrel addons .,,Our dog sheds every Spring .
get,44961,She did n't get the joke .,,She got a bruise on her leg .
turn,44930,The Earth turns .,,He turned traitor .
hold,45023,Hold these truths to be self-evident .,,I 'll hold you by your promise .
cut,0-0,Cut a ticket .,,The employer wants to cut back health benefits .
beat,45025,The boat beat in the strong wind .,,Beat the subway fare .
point,45201,Cut the skin with the point of the knife .,,A row of points .
move,45115,To move in a matter .,,"Move those boxes into the corner , please ."
carry,45147,Do you carry kerosene heaters ?,,The loan carries a high interest rate .
reason,44959,The reason a steady state was never reached was that the back pressure built up too slowly .,,Mankind should develop reason above all other virtues .
line,44965,A nice line of shoes .,,Toe the line .
flare,45029,He threw a flare to the fullback who was tackled for a loss .,,Infection can cause a lupus flare .
